house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Bắc,Sổ hồng riêng, Phố Minh Khai,Hà Nội, Phường Vĩnh Tuy,55.38,80.0,2,2
Tây,Sổ hồng riêng, minh khai,Hà Nội, Phường Vĩnh Tuy,58.82,68.0,2,2
Bắc,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,64.84,128.0,3,2
Bắc,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.12,81.0,2,2
Nam,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),40.74,81.0,2,2
Đông,Hợp đồng mua bán, Nguyễn Duy Trinh,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),31.97,76.0,2,2
Bắc,Hợp đồng mua bán,Bình Trưng Tây,Hồ Chí Minh, Phường Bình Trưng Tây (Quận 2 cũ),41.26,95.0,3,2
Đông,Sổ hồng riêng,Đường Phạm Văn Nghị,Hồ Chí Minh, Phường Tân Phong,52.71,70.0,2,2
Tây Bắc,Sổ hồng riêng,Huỳnh Văn Chính,Hồ Chí Minh, Phường Phú Trung,29.17,60.0,2,2
Tây Nam,Sổ hồng riêng,D7,Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ),33.91,56.0,1,1
Đông Bắc,Sổ hồng riêng, N1,Hồ Chí Minh, Phường Sơn Kỳ,44.43,63.7,2,2
Đông,Đang chờ sổ, Đường N4,Hồ Chí Minh, Phường Sơn Kỳ,67.35,49.0,1,1
Đông Bắc,Hợp đồng mua bán, Đường Phan Chu Trinh,Hồ Chí Minh, Phường Hiệp Phú (Quận 9 cũ),41.91,68.0,2,2
Đông,Đang chờ sổ, Đường Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,42.67,75.0,2,2
Bắc,Sổ hồng riêng,Phú Hữu,Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ),38.0,55.0,1,1
Nam,Sổ hồng riêng,Hoàng Hoa Thám P12 Cc,Hồ Chí Minh, Phường 12,39.47,76.0,2,1
Đông Nam,Sổ hồng riêng,Cc Ba Vân Hẻm 80m,Hồ Chí Minh, Phường 14,27.17,46.0,2,1
Nam,Đang chờ sổ, Lũy Bán Bích,Hồ Chí Minh, Phường Hòa Thạnh,30.0,60.0,2,2
Tây Nam,Sổ hồng riêng, Lê Hồng Phong,Hồ Chí Minh, Phường 2,52.05,44.0,1,1
Nam,Sổ hồng riêng,Hoàng Hoa Thám P12 Cc,Hồ Chí Minh, Phường 12,39.47,76.0,2,1
Đông Nam,Sổ hồng riêng,Cc Ba Vân Hẻm 80m,Hồ Chí Minh, Phường 14,27.17,46.0,2,1
Nam,Đang chờ sổ, Lũy Bán Bích,Hồ Chí Minh, Phường Hòa Thạnh,30.0,60.0,2,2
Tây Nam,Sổ hồng riêng, Lê Hồng Phong,Hồ Chí Minh, Phường 2,52.05,44.0,1,1
Đông Nam,Sổ hồng riêng,QUAN NHÂN,Hà Nội, Phường Nhân Chính,11.6,50.0,2,1
